LATIN_NAM,COMMON_NAM,SP_TYPE,HAB_USE,CEREALS,WNTR_CRLS,OILSEED,CORN,SOYBEANS,VEGETABLES,BERRIES,FRUIT_TREE,OTR_CRPS,SOD,PULSES,SUMMF,TAME,IMPAST,UNIMPAST,GRSSHRBWD,ANTHROP,WDLT_PLANT,WD_INTR,WD_NO_INT,SB_TREE,SB_GRS_HRB,RIP_WD,RIP_GRSHRB,RIP_AG,WTLD_W_MRG,WTLD_N_MAR,WTLD_OPWAT,WTLD_PEAT,WT_TS_SWMP,IDLE_LND
Mustela vison,Mink,2,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,1,2,3,2,3,2,2,2,0
Lontra canadensis,Northern River Otter,2,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,2,0
Chelydra serpentina,Snapping Turtle,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0
Sternotherus odoratus,Common Musk Turtle,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0
Chrysemys picta,Painted Turtle,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0
Clemmys guttata,Spotted Turtle,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,2,2,0
Emydoidea blandingii,Blandings Turtle,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,1,0,2,0
Graptemys geographica,Common Map Turtle,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,0,0,0
Apalone spinifera,Spiny Softshell,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0
Eumeces fasciatus,Five-lined Skink,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Nerodia sipedon,Northern Water Snake,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,0
Regina septemvittata,Queen Snake,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
Botaurus lentiginosus,American Bittern,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,3,2,3,1,2,0,1,2,3
Ardea herodias,Great Blue Heron,1,F,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,3,2,2,2,2,2,0,2,2,3
Ardea alba,Great Egret,1,F,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,3,2,2,2,2,2,0,2,2,3
Anas discors,Blue-winged Teal,1,F,3,3,3,3,3,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,2,3,3,3
Haliaeetus leucocephalus,Bald Eagle,1,F,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,0,3,3,2,2,2,2,2,2,3,3,3
Accipiter cooperii,Cooper's Hawk,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,2,2,3,1,3,3,3,0,0,3,2,3
Accipiter gentilis,Northern Goshawk,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,1,2,2,0,2,0,0,3,0,0,2,2,3
Buteo lineatus,Red-shouldered Hawk,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,1,2,3,0,1,3,0,2,3,0,2,1,3
Buteo platypterus,Broad-winged Hawk,1,F,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,2,1,2,3,3,1,3,3,2,3,0,2,2,3
Falco columbarius,Merlin,1,F,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,2,2,3,1,3,3,2,2,2,2,2,3
Pluvialis squatarola,Black-bellied Plover,1,F,3,3,3,3,3,3,0,0,3,2,3,3,3,3,3,0,0,0,0,0,0,0,0,3,2,2,2,2,0,0,3
Pluvialis dominica,American Golden-Plover,1,F,3,3,3,3,3,3,0,0,3,2,3,3,3,3,3,0,0,0,0,0,0,0,0,3,3,2,2,2,0,0,3
Calidris fuscicollis,White-rumped Sandpiper,1,F,3,3,3,3,3,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,2,0,0,3
Calidris melanotos,Pectoral Sandpiper,1,F,3,3,3,3,3,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,3,3,3
Larus delawarensis,Ring-billed Gull,1,F,2,2,2,2,2,2,2,0,2,2,2,3,3,3,0,0,2,0,0,0,0,0,0,2,2,2,2,2,0,0,3
Larus argentatus,Herring Gull,1,F,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0,0,2,0,0,0,0,0,0,2,2,2,2,1,0,0,3
Columba livia,Rock Dove,1,F,1,1,2,1,2,3,3,3,3,3,2,2,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Chordeiles minor,Common Nighthawk,1,F,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,3
Chaetura pelagica,Chimney Swift,1,F,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,1,2,3,3,2,3,3,2,3,2,2,2,3
Progne subis,Purple Martin,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3
Corvus corax,Common Raven,1,F,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,0,2,2,3
Sitta carolinensis,White-breasted Nuthatch,1,F,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,2,3,1,2,3,0,2,0,0,0,0,0,0,2,3
Catharus fuscescens,Veery,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,0,0,1,0,0,0,0,0,3,1,3
Hylocichla mustelina,Wood Thrush,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,0,0,1,0,0,0,0,0,0,2,3
Vireo philadelphicus,Philadelphia Vireo,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,3,0,1,0,0,0,0,0,2,1,3
Dendroica virens,Black-throated Green Warbler,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,3,0,1,0,0,0,0,0,3,1,3
Seiurus aurocapilla,Ovenbird,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,3,0,1,0,0,0,0,0,2,2,3
Piranga olivacea,Scarlet Tanager,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,3,0,2,0,0,0,0,0,0,2,3
Icterus spurius,Orchard Oriole,1,F,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,0,0,0,0,0,0,0,3
Icterus galbula,Baltimore Oriole,1,F,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,0,0,0,0,0,0,2,3
Alces alces,Moose,2,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,3,0,0,1,2,0,1,3,2,1,1,3
Bufo americanus,American Toad,3,F,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2
Hyla versicolor,Gray Treefrog,3,F,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0,0,0,2,2
Pseudacris triseriata,Western Chorus Frog,3,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,2,2,0,0,0,0,0,2,2
Pseudacris crucifer,Spring Peeper,3,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
Rana palustris,Pickerel Frog,3,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,2,1,2,2,1,0,2
Rana pipiens,Northern Leopard Frog,3,F,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,3,2,2,2,2,2,2,0,2
Branta canadensis,Canada Goose,1,F,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,0,2,0,0,0,0,0,2,2,2,2,2,2,3,3,2
Cathartes aura,Turkey Vulture,1,F,3,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
Circus cyaneus,Northern Harrier,1,F,3,3,3,3,3,3,2,0,3,3,3,2,1,1,1,2,0,0,0,0,0,2,2,2,0,1,0,0,1,2,2
Accipiter striatus,Sharp-shinned Hawk,1,F,0,0,0,0,0,0,3,3,0,0,0,3,3,3,3,2,2,1,1,2,2,2,1,3,3,3,0,0,2,2,2
Buteo jamaicensis,Red-tailed Hawk,1,F,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,0,0,2,2,2
Falco sparverius,American Kestrel,1,F,3,3,3,3,3,3,2,2,3,3,3,2,2,1,1,1,2,2,0,2,2,2,2,2,3,2,2,0,2,2,2
Perdix perdix,Gray Partridge,1,F,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2
Phasianus colchicus,Ring-necked Pheasant,1,F,2,2,2,2,2,0,0,2,0,0,2,2,2,2,2,2,3,0,0,0,2,2,2,2,2,2,2,0,0,0,2
Meleagris gallopavo,Wild Turkey,1,F,2,2,0,2,3,0,0,3,0,0,0,2,3,3,3,2,3,3,2,2,2,2,2,2,2,0,0,0,0,3,2
Colinus virginianus,Northern Bobwhite,1,F,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,3,3,3,2,2,3,2,0,0,0,0,0,0,2
Grus canadensis,Sandhill Crane,1,F,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
Charadrius vociferus,Killdeer,1,F,3,3,3,3,3,3,2,0,0,2,0,2,0,2,2,0,2,0,0,0,0,0,0,2,2,2,2,2,0,0,2
Bartramia longicauda,Upland Sandpiper,1,F,0,0,0,0,0,0,3,0,0,0,0,3,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Scolopax minor,American Woodcock,1,F,3,3,3,3,3,3,2,0,3,0,3,0,0,2,2,1,3,2,2,2,0,0,2,0,0,2,2,0,3,2,2
Zenaida macroura,Mourning Dove,1,F,1,1,2,1,2,3,3,2,3,3,2,2,3,2,2,2,2,3,0,3,2,2,2,2,2,0,0,0,0,3,2
Tyto alba,Barn Owl,1,F,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,0,0,0,3,2,0,2,2,0,0,0,0,0,2
Megascops asio,Eastern Screech-Owl,1,F,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,2,2,1,3,3,2,1,2,0,0,0,0,0,1,2
Bubo virginianus,Great Horned Owl,1,F,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,0,0,2,2,2
Asio otus,Long-eared Owl,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,3,2,2,0,2,2,0,2,2,2
Asio flammeus,Short-eared Owl,1,F,3,3,3,3,3,3,3,0,3,3,3,2,2,2,1,2,0,0,0,0,0,0,0,2,0,1,0,0,2,0,2
Archilochus colubris,Ruby-throated Hummingbird,1,F,0,0,3,0,3,0,2,2,3,0,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,0,2,2,2
Melanerpes erythrocephalus,Red-headed Woodpecker,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,2,2,2,0,2,0,0,0,0,0,0,2,2
Sphyrapicus varius,Yellow-bellied Sapsucker,1,F,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,1,2,0,0,1,0,0,0,0,0,3,1,2
Picoides pubescens,Downy Woodpecker,1,F,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,2,1,2,2,0,1,0,0,0,0,0,3,1,2
Picoides villosus,Hairy Woodpecker,1,F,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,2,1,2,2,0,1,0,0,0,0,0,2,1,2
Colaptes auratus,Northern Flicker,1,F,3,3,3,3,3,3,2,2,3,3,3,3,3,2,2,1,2,2,2,1,2,3,2,3,0,0,0,0,2,2,2
Dryocopus pileatus,Pileated Woodpecker,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,2,2,0,1,0,0,0,0,0,3,1,2
Empidonax traillii,Willow Flycatcher,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2
Tyrannus tyrannus,Eastern Kingbird,1,F,3,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,3,0,0,0,2,2,2,2,2,2,2,0,0,2,2
Eremophila alpestris,Horned Lark,1,F,1,1,1,1,1,1,2,0,2,2,1,1,3,2,2,3,3,0,0,0,3,2,0,2,2,2,2,0,3,0,2
Tachycineta bicolor,Tree Swallow,1,F,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2
Stelgidopteryx serripennis,Northern Rough-winged Swallow,1,F,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2
Riparia riparia,Bank Swallow,1,F,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2
Petrochelidon pyrrhonota,Cliff Swallow,1,F,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2
Hirundo rustica,Barn Swallow,1,F,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,3,2,2
Cyanocitta cristata,Blue Jay,1,F,3,3,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,2,2,0,2,0,0,0,0,0,3,2,2
Corvus brachyrhynchos,American Crow,1,F,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,3,2,2
Poecile atricapillus,Black-capped Chickadee,1,F,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,2,0,0,2,2,2
Troglodytes aedon,House Wren,1,F,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0,0,0,2,2
Cistothorus platensis,Sedge Wren,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,2,3,2
Sialia sialis,Eastern Bluebird,1,F,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,1,2,2,0,2,1,3,2,2,0,3,3,0,3,2,2
Catharus guttatus,Hermit Thrush,1,F,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,2,1,2,0,0,3,0,0,0,0,0,2,3,2
Turdus migratorius,American Robin,1,F,3,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,2,2,2
Dumetella carolinensis,Gray Catbird,1,F,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,3,2,2,2,2,0,1,0,0,0,0,0,3,1,2
Mimus polyglottos,Northern Mockingbird,1,F,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,3,0,2,2,0,2,0,0,0,0,0,0,3,2
Toxostoma rufum,Brown Thrasher,1,F,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,3,2,2,2,2,0,2,0,0,0,0,0,3,3,2
Bombycilla cedrorum,Cedar Waxwing,1,F,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Sturnus vulgaris,European Starling,1,F,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,0,0,0,0,0,2
Vireo solitarius,Blue-headed Vireo,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,0,0,1,0,0,0,0,0,2,2,2
Vireo gilvus,Warbling Vireo,1,F,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,3,2,2,2,0,1,0,0,0,0,0,0,1,2
Vireo olivaceus,Red-eyed Vireo,1,F,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,2,1,1,2,0,1,0,0,0,0,0,2,1,2
Vermivora pinus,Blue-winged Warbler,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,0,0,2,0,0,0,0,0,0,2,2
Vermivora chrysoptera,Golden-winged Warbler,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,0,0,0,0,0,0,0,0,0,2,2
Vermivora peregrina,Tennessee Warbler,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,0,1,0,0,0,0,0,2,1,2
Vermivora ruficapilla,Nashville Warbler,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,3,0,1,0,0,0,0,0,1,1,2
Dendroica petechia,Yellow Warbler,1,F,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,2,2,2,2,2,3,1,2,0,3,3,0,2,1,2
Dendroica pensylvanica,Chestnut-sided Warbler,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,3,0,1,0,0,0,0,0,3,2,2
Dendroica magnolia,Magnolia Warbler,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,3,0,1,0,0,0,0,0,2,1,2
Dendroica coronata,Yellow-rumped Warbler,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,3,0,1,0,0,0,0,0,1,2,2
Mniotilta varia,Black-and-White Warbler,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,3,0,1,0,0,0,0,0,2,2,2
Setophaga ruticilla,American Redstart,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,0,1,0,0,0,0,0,2,1,2
Oporornis philadelphia,Mourning Warbler,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,0,0,1,0,0,0,0,0,2,1,2
Geothlypis trichas,Common Yellowthroat,1,F,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,2,2,2,3,0,1,2,0,2,2,0,1,1,2
Cardinalis cardinalis,Northern Cardinal,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,2,0,0,0,2,2
Passerina cyanea,Indigo Bunting,1,F,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,2,0,0,0,2,2
Spizella passerina,Chipping Sparrow,1,F,0,0,0,0,0,0,2,3,2,0,0,0,0,2,2,2,2,3,3,3,2,2,2,2,2,3,0,0,3,3,2
Pooecetes gramineus,Vesper Sparrow,1,F,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Ammodramus savannarum,Grasshopper Sparrow,1,F,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,2
Melospiza melodia,Song Sparrow,1,F,0,0,0,0,0,0,2,2,0,0,0,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
Melospiza georgiana,Swamp Sparrow,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,2,0,2,1,2
Zonotrichia albicollis,White-throated Sparrow,1,F,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,3,0,0,2,2,2
Agelaius phoeniceus,Red-winged Blackbird,1,F,2,2,2,2,0,0,2,2,0,0,0,2,2,2,2,2,2,0,0,2,2,2,2,2,2,1,1,0,0,2,2
Sturnella magna,Eastern Meadowlark,1,F,2,2,0,0,0,0,0,2,0,0,0,0,2,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Sturnella neglecta,Western Meadowlark,1,F,2,2,0,0,0,0,0,2,0,0,0,0,2,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Xanthocephalus xanthocephalus,Yellow-headed Blackbird,1,F,2,2,2,2,3,3,0,0,3,0,3,2,2,2,2,2,2,3,3,3,2,2,3,2,2,1,1,1,0,2,2
Euphagus cyanocephalus,Brewer's Blackbird,1,F,2,2,2,2,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,3,2,2,3,2,2,2,3,0,2,3,2
Quiscalus quiscula,Common Grackle,1,F,2,2,2,2,0,0,2,2,0,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
Molothrus ater,Brown-headed Cowbird,1,F,0,0,0,0,0,0,2,0,0,2,0,2,0,1,1,1,1,0,0,0,0,2,0,2,2,0,0,0,0,0,2
Carduelis tristis,American Goldfinch,1,F,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,2,2
Passer domesticus,House Sparrow,1,F,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Didelphis virginiana,Virginia Opposum,2,F,2,2,2,2,0,2,2,2,2,0,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2
Sorex cinereus,Masked Shrew,2,F,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,0,2,0,0,2,2,2
Sorex fumeus,Smoky Shrew,2,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,0,0,2,0,0,2,2,2
Sorex hoyi,Pygmy Shrew,2,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,2,0,2,2,0,2,2,2
Blarina brevicauda,Northern Short-tailed Shrew,2,F,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
Parascalops breweri,Hairy-tailed Mole,2,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2
Scalopus aquaticus,Eastern Mole,2,F,3,3,3,3,3,3,3,2,3,0,3,3,3,3,2,2,2,2,1,2,1,2,2,2,3,0,0,0,0,0,2
Condylura cristata,Star-nosed Mole,2,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,0,0,2,2,2,2,2,2,2,2,2
Myotis lucifugus,Little Brown Myotis,2,F,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2
Myotis leibii,Eastern small-footed Myotis,2,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,2,2,2,2,2,0,0,2
Pipistrellus subflavus,Eastern Pipistrelle,2,F,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,0,0,2
Eptesicus fuscus,Big Brown Bat,2,F,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2
Lasiurus cinereus,Hoary Bat,2,F,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2
Sylvilagus floridanus,Eastern Cottontail,2,F,0,0,0,0,0,2,0,2,0,0,0,0,2,3,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,2,2
Castor canadensis,American Beaver,2,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,1,2,2,1,2,1,2,2
Peromyscus maniculatus,Deer Mouse,2,F,2,2,2,2,0,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2
Peromyscus leucopus,White-footed Mouse,2,F,2,2,2,2,0,0,2,2,0,0,0,0,0,0,2,1,2,2,1,2,2,2,1,2,0,0,0,0,0,0,2
Microtus pennsylvanicus,Meadow Vole,2,F,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
Synaptomys cooperi,Southern Bog Lemming,2,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,1,2,2
Rattus norvegicus,Norway Rat,2,F,2,2,2,2,2,2,2,2,2,0,2,0,0,0,2,2,1,0,0,0,2,2,2,2,2,0,0,0,0,0,2
Canis latrans,Coyote,2,F,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2
Canis lupus,Gray Wolf,2,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,2,0,2
Vulpes vulpes,Red Fox,2,F,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,0,0,0,0,2
Procyon lotor,Common Raccoon,2,F,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,1,2,2,2,2,0,2,1,2
Mustela erminea,Short-tailed Weasel,2,F,0,0,0,0,0,0,2,3,0,0,0,0,2,2,3,2,2,2,1,2,2,2,2,2,0,2,2,0,2,2,2
Mustela nivalis,Least Weasel,2,F,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,2,0,2,0,0,0,0,2
Mustela frenata,Long-tailed Weasel,2,F,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2
Mephitis mephitis,Striped Skunk,2,F,2,2,3,2,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2
Lynx rufus,Bobcat,2,F,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,2,3,2,1,2,3,3,1,3,0,2,3,0,2,1,2
Odocoileus virginianus,White-tailed Deer,2,F,3,3,3,3,3,3,3,3,3,0,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,3,2,2
Glyptemys insculpta,Wood Turtle,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,1,2,0,0,0,0,2,2,2
Coluber constrictor,Blue Racer,4,F,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2
